,Date,Pitcher,IP,Hits,ER,Walks,Strike Outs,W,L,Saves,Holds,Points
58,MARCH 28,Zach Eflin,5.2,6,6,1,5,0,1,0,0,1.0
60,MARCH 28,Cole Ragans,6.0,5,2,3,9,0,1,0,0,13.0
64,MARCH 29,George Kirby,6.2,2,0,2,8,1,0,0,0,26.0
65,MARCH 29,Emmanuel Clase,1.0,2,0,0,0,0,0,1,0,6.0
74,MARCH 30,Raisel Iglesias,1.0,1,0,0,1,0,0,0,0,3.0
75,MARCH 30,Pete Fairbanks,1.0,0,0,0,2,0,0,0,0,5.0
80,MARCH 31,Chris Sale,5.1,5,2,2,7,0,0,0,0,12.0
92,APRIL 2,Zach Eflin,6.1,5,1,1,5,1,0,0,0,18.0
93,APRIL 2,Emmanuel Clase,1.0,1,0,0,2,0,0,1,0,9.0
96,APRIL 2,Pete Fairbanks,1.0,2,1,1,1,0,0,0,0,-1.0
99,APRIL 3,George Kirby,3.2,9,6,0,2,0,1,0,0,-10.0
101,APRIL 3,Cole Ragans,6.1,1,0,2,7,0,0,0,0,23.0
107,APRIL 4,Emmanuel Clase,1.0,0,0,0,0,0,0,1,0,8.0
116,APRIL 5,Raisel Iglesias,1.0,1,0,0,0,0,0,0,0,2.0
117,APRIL 5,Pete Fairbanks,0.0,0,3,3,0,0,1,0,0,-11.0
121,APRIL 6,Emmanuel Clase,1.0,1,0,0,2,0,0,1,0,9.0
123,APRIL 6,Raisel Iglesias,1.0,0,0,0,0,0,0,1,0,8.0
129,APRIL 7,Chris Sale,5.1,4,2,0,6,1,0,0,0,16.0
134,APRIL 8,Zach Eflin,5.0,9,5,0,5,0,1,0,0,-1.0
135,APRIL 8,Emmanuel Clase,1.0,1,0,0,2,0,0,0,0,4.0
141,APRIL 9,George Kirby,4.0,8,5,0,3,0,1,0,0,-5.0
143,APRIL 9,Cole Ragans,5.0,10,3,1,5,0,0,0,0,3.0
144,APRIL 9,Raisel Iglesias,1.0,3,2,0,1,0,0,1,0,2.0
145,APRIL 9,Pete Fairbanks,1.0,2,1,1,2,0,0,1,0,5.0
149,APRIL 10,Emmanuel Clase,1.0,1,0,0,0,0,0,0,0,2.0
152,APRIL 10,Pete Fairbanks,1.0,1,0,0,3,0,0,1,0,10.0
166,APRIL 12,Pete Fairbanks,1.0,0,0,1,0,0,0,1,0,7.0
170,APRIL 13,Chris Sale,7.0,6,5,3,7,0,1,0,0,7.0
174,APRIL 13,MacKenzie Gore,5.0,4,0,1,11,1,0,0,0,23.0
176,APRIL 14,Emmanuel Clase,1.0,2,1,0,0,0,0,0,0,-1.0
177,APRIL 14,Cole Ragans,6.0,5,0,1,8,0,0,0,0,20.0
178,APRIL 14,Raisel Iglesias,1.0,0,0,0,1,0,0,1,0,9.0
182,APRIL 15,George Kirby,6.0,5,2,0,6,1,0,0,0,17.0
183,APRIL 15,Zach Eflin,6.1,6,0,0,5,0,0,0,0,18.0
191,APRIL 16,Emmanuel Clase,1.0,1,0,0,0,1,0,0,0,4.0
193,APRIL 16,Raisel Iglesias,0.1,0,0,0,0,0,0,1,0,6.0
194,APRIL 16,Pete Fairbanks,1.0,0,0,0,2,0,0,0,0,5.0
200,APRIL 17,Raisel Iglesias,1.0,0,0,1,0,0,0,1,0,7.0
201,APRIL 17,Pete Fairbanks,1.0,3,2,2,0,0,1,0,0,-8.0
205,APRIL 18,Emmanuel Clase,1.0,0,0,0,1,0,0,1,0,9.0
212,APRIL 19,Chris Sale,7.0,5,3,1,7,1,0,0,0,18.0
215,APRIL 19,MacKenzie Gore,4.0,7,3,1,4,0,1,0,0,0.0
218,APRIL 20,Zach Eflin,6.0,3,0,0,6,0,0,0,0,21.0
219,APRIL 20,Emmanuel Clase,1.0,1,0,0,2,0,0,1,0,9.0
220,APRIL 20,Cole Ragans,1.2,9,7,0,4,0,1,0,0,-16.0
221,APRIL 20,Raisel Iglesias,1.0,0,0,0,2,0,0,1,0,10.0
225,APRIL 21,George Kirby,5.0,5,0,1,7,0,0,0,0,16.0
226,APRIL 21,Emmanuel Clase,1.0,0,0,1,1,0,0,0,0,3.0
235,APRIL 22,Raisel Iglesias,1.0,0,0,0,1,0,0,1,0,9.0
237,APRIL 22,Mason Miller,1.0,0,0,0,3,0,0,1,0,11.0
240,APRIL 23,Emmanuel Clase,1.0,0,0,0,3,0,0,1,0,11.0
249,APRIL 24,Raisel Iglesias,1.0,3,1,0,1,0,0,0,0,-1.0
254,APRIL 25,Emmanuel Clase,1.0,0,0,0,1,0,0,1,0,9.0
255,APRIL 25,Cole Ragans,5.0,3,1,3,4,1,0,0,0,13.0
256,APRIL 25,MacKenzie Gore,6.0,7,1,2,4,0,1,0,0,9.0
257,APRIL 25,Mason Miller,1.1,1,0,0,3,0,0,1,0,11.0
258,APRIL 25,Simeon Woods Richardson,5.0,7,2,1,6,0,0,0,0,9.0
260,APRIL 26,Zach Eflin,6.0,9,4,2,4,0,1,0,0,1.0
262,APRIL 26,Chris Sale,7.0,2,1,1,6,1,0,0,0,24.0
265,APRIL 26,Mason Miller,1.0,0,0,0,2,0,0,1,0,10.0
267,APRIL 27,George Kirby,7.0,2,0,1,12,1,0,0,0,32.0
268,APRIL 27,Emmanuel Clase,1.0,0,0,0,0,0,0,0,0,3.0
270,APRIL 27,Raisel Iglesias,1.0,0,0,1,1,0,0,0,0,3.0
275,APRIL 28,Emmanuel Clase,0.1,1,0,0,1,0,1,0,0,-1.0
277,APRIL 28,Raisel Iglesias,1.0,1,0,0,1,0,0,0,0,3.0
287,APRIL 30,Emmanuel Clase,1.0,1,0,0,0,0,0,0,0,2.0
288,APRIL 30,Cole Ragans,6.2,4,1,3,9,1,0,0,0,22.0
291,APRIL 30,MacKenzie Gore,5.0,5,2,1,7,0,1,0,0,10.0
292,APRIL 30,Mason Miller,1.0,0,0,0,3,0,0,1,0,11.0
293,APRIL 30,Simeon Woods Richardson,3.2,7,1,2,2,0,0,0,0,2.0
295,MAY 1,Zach Eflin,5.2,6,3,0,6,0,1,0,0,9.0
296,MAY 1,Emmanuel Clase,1.0,0,0,0,1,0,0,1,0,9.0
297,MAY 1,Chris Sale,5.0,6,1,0,9,1,0,0,0,18.0
298,MAY 1,Raisel Iglesias,1.0,1,0,1,0,0,0,1,0,6.0
300,MAY 1,Mason Miller,1.0,0,0,0,1,0,0,0,0,4.0
309,MAY 3,George Kirby,6.0,4,1,0,3,0,0,0,0,15.0
312,MAY 3,Raisel Iglesias,1.0,1,0,0,0,0,0,0,0,2.0
324,MAY 5,Emmanuel Clase,1.0,0,0,0,2,0,0,1,0,10.0
327,MAY 5,MacKenzie Gore,3.0,6,2,2,4,0,0,0,0,1.0
329,MAY 6,Emmanuel Clase,1.0,0,0,0,1,0,0,1,0,9.0
330,MAY 6,Cole Ragans,6.0,2,2,2,8,0,0,0,0,18.0
335,MAY 6,Triston McKenzie,5.0,3,1,3,6,0,0,0,0,13.0
337,MAY 7,Zach Eflin,7.0,6,1,0,3,1,0,0,0,18.0
339,MAY 7,Raisel Iglesias,1.0,0,0,0,1,0,0,1,0,9.0
343,MAY 8,George Kirby,5.0,4,4,1,4,0,1,0,0,4.0
344,MAY 8,Emmanuel Clase,1.0,0,0,0,1,1,0,0,0,6.0
345,MAY 8,Chris Sale,6.0,6,0,1,10,1,0,0,0,23.0
348,MAY 8,Mason Miller,2.0,0,0,0,4,0,0,0,0,10.0
360,MAY 10,Raisel Iglesias,1.0,1,1,1,0,0,0,1,0,4.0
366,MAY 11,Cole Ragans,6.1,8,7,1,3,0,1,0,0,-3.0
367,MAY 11,Raisel Iglesias,1.0,2,1,1,1,0,0,0,0,-1.0
370,MAY 11,Triston McKenzie,6.2,4,1,3,5,0,1,0,0,14.0
375,MAY 12,MacKenzie Gore,6.0,6,2,2,9,0,1,0,0,13.0
377,MAY 12,Tyler Alexander,7.0,7,6,2,3,0,1,0,0,1.0
379,MAY 13,George Kirby,7.0,3,0,0,6,1,0,0,0,26.0
380,MAY 13,Zach Eflin,5.0,6,3,0,2,1,0,0,0,7.0
381,MAY 13,Emmanuel Clase,1.0,0,0,0,2,0,0,0,0,5.0
387,MAY 14,Emmanuel Clase,1.0,0,0,1,0,0,0,1,0,7.0
388,MAY 14,Chris Sale,7.0,2,0,0,9,1,0,0,0,30.0
391,MAY 14,Mason Miller,2.0,0,0,1,5,0,0,0,0,10.0
406,MAY 17,Emmanuel Clase,1.0,0,0,0,1,0,0,1,0,9.0
407,MAY 17,Cole Ragans,7.0,2,0,2,7,1,0,0,0,26.0
409,MAY 17,Raisel Iglesias,1.0,2,0,0,0,0,0,0,0,1.0
412,MAY 17,Brayan Bello,4.2,7,5,0,4,0,1,0,0,-1.0
413,MAY 18,Zach Eflin,6.0,9,4,0,3,0,0,0,0,4.0
417,MAY 18,MacKenzie Gore,6.1,3,2,3,3,0,0,0,0,12.0
421,MAY 19,George Kirby,6.0,9,5,0,3,0,1,0,0,0.0
422,MAY 19,Emmanuel Clase,1.0,0,0,0,1,1,0,0,0,6.0
425,MAY 19,Mason Miller,1.0,1,0,0,0,0,0,0,0,2.0
428,MAY 20,Emmanuel Clase,1.0,0,0,0,0,0,0,1,0,8.0
429,MAY 20,Chris Sale,7.0,5,0,0,9,1,0,0,0,27.0
430,MAY 20,Raisel Iglesias,1.0,0,0,0,1,0,0,1,0,9.0
435,MAY 21,Emmanuel Clase,1.0,1,0,0,0,0,0,1,0,7.0
438,MAY 21,Mason Miller,1.0,0,0,0,3,0,0,1,0,11.0
